filename,unique_id,Total,chromosome,ecDNA
NCIH2170_TOTAL_HER2_R1_G2_24_10_106_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_106_Merge(RGB),311,0,311
NCIH2170_TOTAL_HER2_R1_G2_24_10_84_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_84_Merge(RGB),115,4,111
NCIH2170_HIGH_HER2_R1_G2_24_10_94_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_94_Merge(RGB),440,46,394
NCIH2170_LOW_HER2_R1_G0_2501_117_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_117,158,1,157
NCIH2170_LOW_HER2_R1_G1_2404_15_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_15_Merge(RGB),85,0,85
NCIH2170_LOW_HER2_R1_G2_24_10_103_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_103_Merge(RGB),45,8,37
NCIH2170_LOW_HER2_R1_G2_24_10_96_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_96_Merge(RGB),172,6,166
NCIH2170_TOTAL_HER2_R1_G2_24_10_117_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_117_Merge(RGB),307,31,276
NCIH2170_TOTAL_HER2_R1_G1_2404_27_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_27_Merge(RGB),411,0,411
NCIH2170_HIGH_HER2_R1_G0_2501_70_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_70,177,14,163
NCIH2170_LOW_HER2_R1_G1_2404_1_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_1_Merge(RGB),251,4,247
NCIH2170_LOW_HER2_R1_G2_24_10_8_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_8_Merge(RGB),188,0,188
NCIH2170_HIGH_HER2_R1_G2_24_10_36B_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_36B_Merge(RGB),218,0,218
NCIH2170_LOW_HER2_R1_G2_24_10_49_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_49_Merge(RGB),122,1,121
NCIH2170_TOTAL_HER2_R1_G2_24_10_65_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_65_Merge(RGB),404,1,403
NCIH2170_LOW_HER2_R1_G0_2501_114_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_114,105,2,103
NCIH2170_HIGH_HER2_R1_G1_2404_S2_11_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_11_Merge(RGB),174,0,174
NCIH2170_TOTAL_HER2_R1_G1_2404_81_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_81_Merge(RGB),186,0,186
NCIH2170_TOTAL_HER2_R1_G0_2501_128_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_128,211,0,211
