filename,unique_id,Total,chromosome,ecDNA,MIA_total,TP,TP_partial,FN,FP,ref_total
NCIH2170_TOTAL_HER2_R1_G2_24_10_106_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_106_Merge(RGB),311,0,311,40,18,19,274,3,311
NCIH2170_TOTAL_HER2_R1_G2_24_10_84_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_84_Merge(RGB),115,4,111,25,17,6,92,2,115
NCIH2170_HIGH_HER2_R1_G2_24_10_94_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_94_Merge(RGB),440,46,394,259,114,116,210,29,440
NCIH2170_LOW_HER2_R1_G0_2501_117_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_117,158,1,157,33,9,20,129,4,158
NCIH2170_LOW_HER2_R1_G1_2404_15_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_15_Merge(RGB),85,0,85,29,8,17,60,4,85
NCIH2170_LOW_HER2_R1_G2_24_10_103_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_103_Merge(RGB),45,8,37,33,14,7,24,12,45
NCIH2170_LOW_HER2_R1_G2_24_10_96_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_96_Merge(RGB),172,6,166,63,27,27,118,9,172
NCIH2170_TOTAL_HER2_R1_G2_24_10_117_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_117_Merge(RGB),307,31,276,134,32,67,208,35,307
NCIH2170_TOTAL_HER2_R1_G1_2404_27_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_27_Merge(RGB),411,0,411,355,168,76,167,111,411
NCIH2170_HIGH_HER2_R1_G0_2501_70_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_70,177,14,163,37,13,20,144,4,177
NCIH2170_LOW_HER2_R1_G1_2404_1_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_1_Merge(RGB),251,4,247,74,37,26,188,11,251
