filename,folder,Group,Timeline,ecDNA,MIA_total
H2170_HIGH_HER2_G1_2501_1_Merge.tif,FACS_241119,High,G1,180,99
H2170_LOW_HER2_G2_2502_11_Merge.tif,FACS_241119,Low,G2,102,101
H2170_LOW_HER2_G0_2411_80_Merge.tif,FACS_241119,Low,G0,103,44
H2170_TOTAL_HER2_G1_2501_55_Merge.tif,FACS_241119,Post sort control,G1,250,90
H2170_LOW_HER2_G2_2502_8_Merge.tif,FACS_241119,Low,G2,221,67
H2170_TOTAL_HER2_G0_2411_92_Merge.tif,FACS_241119,Post sort control,G0,369,188
H2170_LOW_HER2_G1_2501_111_Merge.tif,FACS_241119,Low,G1,105,21
H2170_TOTAL_HER2_G1_2501_129_Merge.tif,FACS_241119,Post sort control,G1,153,78
H2170_HIGH_HER2_G1_2501_71_Merge.tif,FACS_241119,High,G1,249,208
H2170_LOW_HER2_G0_2411_54_Merge.tif,FACS_241119,Low,G0,113,110
H2170_HIGH_HER2_G2_2502_123_Merge.tif,FACS_241119,High,G2,544,198
H2170_TOTAL_HER2_G0_2411_52_Merge.tif,FACS_241119,Post sort control,G0,233,165
H2170_LOW_HER2_G2_2502_98_Merge.tif,FACS_241119,Low,G2,121,81
H2170_HIGH_HER2_G0_2411_62_Merge.tif,FACS_241119,High,G0,386,355
H2170_LOW_HER2_G0_2411_62_Merge.tif,FACS_241119,Low,G0,123,47
H2170_HIGH_HER2_G2_2502_106_Merge.tif,FACS_241119,High,G2,433,59
H2170_TOTAL_HER2_G2_2502_54_Merge.tif,FACS_241119,Post sort control,G2,272,161
H2170_LOW_HER2_G2_2502_1_Merge.tif,FACS_241119,Low,G2,174,80
H2170_HIGH_HER2_G2_2502_53_Merge.tif,FACS_241119,High,G2,222,88
H2170_HIGH_HER2_G1_2501_103_Merge.tif,FACS_241119,High,G1,223,99
H2170_LOW_HER2_G1_2501_94_Merge.tif,FACS_241119,Low,G1,160,50
H2170_TOTAL_HER2_G2_2502_56_Merge.tif,FACS_241119,Post sort control,G2,135,46
H2170_TOTAL_HER2_G1_2501_12_Merge.tif,FACS_241119,Post sort control,G1,236,244
H2170_HIGH_HER2_G2_2502_43_Merge.tif,FACS_241119,High,G2,343,166
H2170_TOTAL_HER2_G2_2502_78_Merge.tif,FACS_241119,Post sort control,G2,198,115
H2170_HIGH_HER2_G2_2502_48_Merge.tif,FACS_241119,High,G2,154,118
H2170_HIGH_HER2_G2_2502_121_Merge.tif,FACS_241119,High,G2,339,220
H2170_LOW_HER2_G2_2502_12_Merge.tif,FACS_241119,Low,G2,73,367
H2170_LOW_HER2_G1_2501_20_Merge.tif,FACS_241119,Low,G1,73,31
H2170_HIGH_HER2_G1_2501_120_Merge.tif,FACS_241119,High,G1,517,326
H2170_TOTAL_HER2_G2_2502_40_Merge.tif,FACS_241119,Post sort control,G2,180,52
